 1.000000e+00 -3.549777e+00 
 1.258925e+00 -3.552567e+00 
 1.584893e+00 -3.556981e+00 
 1.995262e+00 -3.563955e+00 
 2.511886e+00 -3.574956e+00 
 3.162278e+00 -3.592260e+00 
 3.981072e+00 -3.619356e+00 
 5.011872e+00 -3.661493e+00 
 6.309573e+00 -3.726305e+00 
 7.943282e+00 -3.824297e+00 
 1.000000e+01 -3.968525e+00 
 1.258925e+01 -4.172026e+00 
 1.584893e+01 -4.440389e+00 
 1.995262e+01 -4.755620e+00 
 2.511886e+01 -5.046537e+00 
 3.162278e+01 -5.140376e+00 
 3.981072e+01 -4.721550e+00 
 5.011872e+01 -4.045177e+00 
 6.309573e+01 -8.522326e+00 
 7.943282e+01 -1.726528e+01 
 1.000000e+02 -2.555908e+01 
 1.258925e+02 -3.338475e+01 
 1.584893e+02 -4.104527e+01 
 1.995262e+02 -4.869976e+01 
 2.511886e+02 -5.641203e+01 
 3.162278e+02 -6.419604e+01 
 3.981072e+02 -7.204376e+01 
 5.011872e+02 -7.994059e+01 
 6.309573e+02 -8.787247e+01 
 7.943282e+02 -9.582822e+01 
 1.000000e+03 -1.037998e+02 
